CMDLINE C:\Users\xener\AppData\Local\Programs\Python\Python38\python.exe init.py
MEM 78.562500 1591522727.8648
MEM 78.562500 1591522727.9648
MEM 78.562500 1591522728.0648
MEM 78.562500 1591522728.1648
MEM 78.562500 1591522728.2649
MEM 78.562500 1591522728.3649
MEM 78.562500 1591522728.4649
MEM 78.562500 1591522728.5649
MEM 78.562500 1591522728.6650
MEM 78.562500 1591522728.7650
MEM 78.562500 1591522728.8650
MEM 78.562500 1591522728.9650
MEM 78.562500 1591522729.0651
MEM 78.562500 1591522729.1651
MEM 78.562500 1591522729.2651
MEM 78.562500 1591522729.3651
MEM 78.562500 1591522729.4651
MEM 78.562500 1591522729.5652
MEM 78.562500 1591522729.6652
MEM 78.562500 1591522729.7652
MEM 78.562500 1591522729.8652
MEM 78.562500 1591522729.9653
MEM 78.562500 1591522730.0653
MEM 78.562500 1591522730.1653
MEM 78.562500 1591522730.2662
MEM 78.562500 1591522730.3662
MEM 78.562500 1591522730.4662
MEM 78.562500 1591522730.5662
MEM 78.562500 1591522730.6662
MEM 78.562500 1591522730.7663
MEM 78.562500 1591522730.8663
MEM 78.562500 1591522730.9663
MEM 78.562500 1591522731.0663
MEM 78.562500 1591522731.1664
MEM 78.562500 1591522731.2664
MEM 78.562500 1591522731.3664
MEM 78.562500 1591522731.4664
MEM 78.562500 1591522731.5664
MEM 78.562500 1591522731.6665
MEM 78.562500 1591522731.7667
MEM 78.562500 1591522731.8667
MEM 78.562500 1591522731.9667
MEM 78.562500 1591522732.0667
MEM 78.562500 1591522732.1667
MEM 78.562500 1591522732.2668
MEM 78.562500 1591522732.3668
MEM 78.562500 1591522732.4668
MEM 78.562500 1591522732.5668
MEM 78.562500 1591522732.6669
MEM 78.562500 1591522732.7669
MEM 78.562500 1591522732.8669
MEM 78.562500 1591522732.9669
MEM 78.562500 1591522733.0670
MEM 78.562500 1591522733.1680
MEM 78.562500 1591522733.2680
MEM 78.562500 1591522733.3680
MEM 78.562500 1591522733.4680
MEM 78.562500 1591522733.5680
MEM 78.562500 1591522733.6681
MEM 78.562500 1591522733.7681
MEM 78.562500 1591522733.8681
MEM 78.562500 1591522733.9681
MEM 78.562500 1591522734.0682
MEM 78.562500 1591522734.1682
MEM 78.562500 1591522734.2682
MEM 78.562500 1591522734.3682
MEM 78.562500 1591522734.4682
MEM 78.562500 1591522734.5683
MEM 78.562500 1591522734.6683
MEM 78.562500 1591522734.7683
MEM 78.562500 1591522734.8683
MEM 78.562500 1591522734.9684
MEM 78.562500 1591522735.0684
MEM 78.562500 1591522735.1684
MEM 78.562500 1591522735.2684
MEM 78.562500 1591522735.3685
MEM 78.562500 1591522735.4685
MEM 78.562500 1591522735.5685
MEM 78.562500 1591522735.6685
MEM 78.562500 1591522735.7685
MEM 78.562500 1591522735.8686
MEM 78.562500 1591522735.9686
MEM 78.562500 1591522736.0686
MEM 78.562500 1591522736.1686
MEM 78.562500 1591522736.2687
MEM 78.562500 1591522736.3687
MEM 78.562500 1591522736.4687
MEM 78.562500 1591522736.5687
MEM 78.562500 1591522736.6687
MEM 78.562500 1591522736.7688
MEM 78.562500 1591522736.8688
MEM 78.562500 1591522736.9688
MEM 78.562500 1591522737.0688
MEM 78.562500 1591522737.1689
MEM 78.562500 1591522737.2689
MEM 78.562500 1591522737.3689
MEM 78.562500 1591522737.4689
MEM 78.562500 1591522737.5690
MEM 78.562500 1591522737.6690
MEM 78.507812 1591522737.7690
MEM 78.507812 1591522737.8690
MEM 78.507812 1591522737.9690
MEM 78.507812 1591522738.0691
MEM 78.507812 1591522738.1691
MEM 78.507812 1591522738.2691
MEM 78.507812 1591522738.3691
MEM 78.507812 1591522738.4692
MEM 78.507812 1591522738.5692
MEM 78.507812 1591522738.6692
MEM 78.507812 1591522738.7692
MEM 78.507812 1591522738.8692
MEM 78.507812 1591522738.9693
MEM 78.507812 1591522739.0693
MEM 78.507812 1591522739.1693
MEM 78.507812 1591522739.2693
MEM 78.507812 1591522739.3694
MEM 78.507812 1591522739.4694
MEM 78.507812 1591522739.5694
MEM 78.507812 1591522739.6694
MEM 78.507812 1591522739.7694
MEM 78.507812 1591522739.8695
MEM 78.507812 1591522739.9695
MEM 78.507812 1591522740.0695
MEM 78.507812 1591522740.1695
MEM 78.507812 1591522740.2696
MEM 78.507812 1591522740.3696
MEM 78.507812 1591522740.4696
MEM 78.507812 1591522740.5696
MEM 78.507812 1591522740.6696
MEM 78.507812 1591522740.7697
MEM 78.507812 1591522740.8697
MEM 78.507812 1591522740.9697
MEM 78.507812 1591522741.0697
MEM 78.507812 1591522741.1698
MEM 78.507812 1591522741.2698
MEM 78.507812 1591522741.3698
MEM 78.507812 1591522741.4698
MEM 78.507812 1591522741.5699
MEM 78.507812 1591522741.6699
MEM 78.507812 1591522741.7699
MEM 78.507812 1591522741.8699
MEM 78.507812 1591522741.9699
MEM 78.507812 1591522742.0700
MEM 78.507812 1591522742.1700
MEM 78.507812 1591522742.2700
MEM 78.507812 1591522742.3700
MEM 78.507812 1591522742.4701
MEM 78.507812 1591522742.5701
MEM 78.507812 1591522742.6701
MEM 78.507812 1591522742.7701
MEM 78.507812 1591522742.8701
MEM 78.507812 1591522742.9702
MEM 78.507812 1591522743.0702
MEM 78.507812 1591522743.1702
MEM 78.507812 1591522743.2702
MEM 78.507812 1591522743.3703
MEM 78.507812 1591522743.4703
MEM 78.507812 1591522743.5703
MEM 78.507812 1591522743.6703
MEM 78.507812 1591522743.7704
MEM 78.507812 1591522743.8704
MEM 78.507812 1591522743.9704
MEM 78.507812 1591522744.0704
MEM 78.507812 1591522744.1704
MEM 78.507812 1591522744.2705
MEM 78.507812 1591522744.3705
MEM 78.507812 1591522744.4705
MEM 78.507812 1591522744.5705
MEM 78.507812 1591522744.6706
MEM 78.507812 1591522744.7706
MEM 78.507812 1591522744.8706
MEM 78.507812 1591522744.9706
MEM 78.507812 1591522745.0707
MEM 78.507812 1591522745.1707
MEM 78.507812 1591522745.2707
MEM 78.507812 1591522745.3707
MEM 78.507812 1591522745.4707
MEM 78.507812 1591522745.5708
MEM 78.507812 1591522745.6708
MEM 78.507812 1591522745.7708
MEM 78.507812 1591522745.8708
MEM 78.507812 1591522745.9709
MEM 78.507812 1591522746.0709
MEM 78.507812 1591522746.1709
MEM 78.507812 1591522746.2709
MEM 78.511719 1591522746.3710
MEM 78.511719 1591522746.4710
MEM 78.515625 1591522746.5710
MEM 78.515625 1591522746.6710
MEM 78.515625 1591522746.7710
MEM 78.515625 1591522746.8711
MEM 78.515625 1591522746.9711
MEM 78.515625 1591522747.0711
MEM 78.515625 1591522747.1711
MEM 78.515625 1591522747.2712
MEM 78.515625 1591522747.3712
MEM 78.515625 1591522747.4712
MEM 78.515625 1591522747.5712
MEM 78.515625 1591522747.6712
MEM 78.515625 1591522747.7713
MEM 78.515625 1591522747.8713
MEM 78.515625 1591522747.9713
MEM 78.515625 1591522748.0713
MEM 78.515625 1591522748.1714
MEM 78.515625 1591522748.2714
MEM 78.515625 1591522748.3714
MEM 78.515625 1591522748.4714
MEM 78.515625 1591522748.5714
MEM 78.515625 1591522748.6715
MEM 78.515625 1591522748.7715
MEM 78.515625 1591522748.8715
MEM 78.515625 1591522748.9715
MEM 78.515625 1591522749.0716
MEM 78.515625 1591522749.1716
MEM 78.515625 1591522749.2716
MEM 78.515625 1591522749.3716
MEM 78.515625 1591522749.4716
MEM 78.515625 1591522749.5717
MEM 78.515625 1591522749.6717
MEM 78.515625 1591522749.7717
MEM 78.515625 1591522749.8717
MEM 78.515625 1591522749.9718
MEM 78.515625 1591522750.0718
MEM 78.515625 1591522750.1727
MEM 78.515625 1591522750.2727
MEM 78.515625 1591522750.3727
MEM 78.515625 1591522750.4727
MEM 78.515625 1591522750.5727
MEM 78.515625 1591522750.6728
MEM 78.519531 1591522750.7728
MEM 78.519531 1591522750.8728
MEM 78.519531 1591522750.9728
MEM 78.519531 1591522751.0729
MEM 78.519531 1591522751.1729
MEM 78.519531 1591522751.2729
MEM 78.519531 1591522751.3729
MEM 78.519531 1591522751.4729
MEM 78.519531 1591522751.5730
MEM 78.519531 1591522751.6739
MEM 78.519531 1591522751.7740
MEM 78.519531 1591522751.8740
MEM 78.519531 1591522751.9740
MEM 78.519531 1591522752.0740
MEM 78.519531 1591522752.1740
MEM 78.519531 1591522752.2742
MEM 78.519531 1591522752.3742
MEM 78.519531 1591522752.4742
MEM 78.519531 1591522752.5743
MEM 78.519531 1591522752.6743
MEM 78.519531 1591522752.7743
MEM 78.519531 1591522752.8743
MEM 78.519531 1591522752.9743
MEM 78.519531 1591522753.0744
MEM 78.519531 1591522753.1744
MEM 78.519531 1591522753.2744
MEM 78.519531 1591522753.3744
MEM 78.519531 1591522753.4745
MEM 78.519531 1591522753.5745
MEM 78.519531 1591522753.6745
MEM 78.519531 1591522753.7745
MEM 78.519531 1591522753.8746
MEM 78.519531 1591522753.9746
MEM 78.519531 1591522754.0746
MEM 78.519531 1591522754.1746
MEM 78.519531 1591522754.2746
MEM 78.519531 1591522754.3747
MEM 78.519531 1591522754.4747
MEM 78.519531 1591522754.5747
MEM 78.519531 1591522754.6747
MEM 78.519531 1591522754.7748
MEM 78.519531 1591522754.8748
MEM 78.519531 1591522754.9748
MEM 78.519531 1591522755.0748
MEM 78.519531 1591522755.1748
MEM 78.519531 1591522755.2749
MEM 78.519531 1591522755.3749
MEM 78.519531 1591522755.4749
MEM 78.519531 1591522755.5749
MEM 78.519531 1591522755.6750
MEM 78.519531 1591522755.7750
MEM 78.519531 1591522755.8750
MEM 78.519531 1591522755.9750
MEM 78.519531 1591522756.0750
MEM 78.519531 1591522756.1751
MEM 78.519531 1591522756.2751
MEM 78.519531 1591522756.3751
MEM 78.519531 1591522756.4751
MEM 78.519531 1591522756.5752
MEM 78.519531 1591522756.6752
MEM 78.519531 1591522756.7752
MEM 78.519531 1591522756.8752
MEM 78.519531 1591522756.9752
MEM 78.519531 1591522757.0753
MEM 78.519531 1591522757.1753
MEM 78.519531 1591522757.2753
MEM 78.519531 1591522757.3753
MEM 78.519531 1591522757.4754
MEM 78.519531 1591522757.5754
MEM 78.519531 1591522757.6754
MEM 78.519531 1591522757.7754
MEM 78.519531 1591522757.8755
MEM 78.519531 1591522757.9755
